seed,k,h,budget,ddpm_score,ddim_score,delta_ddim_minus_ddpm
4300000,25,2,12.5,0.0,1.0,1.0
4300001,25,2,12.5,0.0,1.0,1.0
4300002,25,2,12.5,0.17540841396751986,1.0,0.8245915860324802
4300003,25,2,12.5,0.2793715380936817,1.0,0.7206284619063184
4300004,25,2,12.5,0.4223552833794457,1.0,0.5776447166205543
4300005,25,2,12.5,0.17322765306605648,1.0,0.8267723469339435
4300006,25,2,12.5,0.0,1.0,1.0
4300007,25,2,12.5,0.045127646075307386,0.045127646075307386,0.0
4300008,25,2,12.5,0.2295419717980922,0.9955925566743555,0.7660505848762633
4300009,25,2,12.5,0.00022323700018118755,0.9841194296171699,0.9838961926169887
4300010,25,2,12.5,0.0,1.0,1.0
4300011,25,2,12.5,0.4125580748153083,1.0,0.5874419251846916
4300012,25,2,12.5,0.16123959756641626,1.0,0.8387604024335837
4300013,25,2,12.5,0.3087005263470074,0.7416878965036311,0.4329873701566237
4300014,25,2,12.5,0.09970999719395214,0.9318933098873041,0.832183312693352
4300015,25,2,12.5,0.25928106866554834,1.0,0.7407189313344517
4300016,25,2,12.5,0.0,1.0,1.0
4300017,25,2,12.5,0.014074646588338366,0.9971751587304802,0.9831005121421419
4300018,25,2,12.5,0.4676067189950092,0.3004924479250292,-0.16711427106998
4300019,25,2,12.5,0.047662521620255034,1.0,0.9523374783797449
4300000,50,4,12.5,0.9195846970695339,1.0,0.08041530293046606
4300001,50,4,12.5,0.0,1.0,1.0
4300002,50,4,12.5,0.9919555393277507,0.9373037010667252,-0.05465183826102549
4300003,50,4,12.5,0.8713507922869275,0.987300758753068,0.11594996646614053
4300004,50,4,12.5,0.46688067085846935,0.9250149411415658,0.45813427028309645
4300005,50,4,12.5,0.9953763335950288,1.0,0.0046236664049712495
4300006,50,4,12.5,0.0005400921190459195,1.0,0.9994599078809541
4300007,50,4,12.5,0.06425869561249413,0.9639051735962304,0.8996464779837363
4300008,50,4,12.5,1.0,1.0,0.0
4300009,50,4,12.5,0.9151011063095268,1.0,0.08489889369047321
4300010,50,4,12.5,0.0,0.9846336835246849,0.9846336835246849
4300011,50,4,12.5,0.919448691286987,1.0,0.08055130871301297
4300012,50,4,12.5,0.16123959756641615,1.0,0.8387604024335839
4300013,50,4,12.5,0.950556882785344,0.930487939138713,-0.020068943646631032
4300014,50,4,12.5,0.9893209978887517,1.0,0.010679002111248281
4300015,50,4,12.5,1.0,1.0,0.0
4300016,50,4,12.5,1.0,0.0,-1.0
4300017,50,4,12.5,0.8966560053804264,0.9533516892677514,0.05669568388732493
4300018,50,4,12.5,0.2055685166857551,1.0,0.794431483314245
4300019,50,4,12.5,0.7149399559504305,0.8925789726718657,0.17763901672143523
4300000,100,8,12.5,0.9954543523864112,0.9766821274069688,-0.01877222497944242
4300001,100,8,12.5,0.9790175134939683,0.9644834427281899,-0.014534070765778395
4300002,100,8,12.5,1.0,0.9965631243614713,-0.0034368756385286803
4300003,100,8,12.5,0.9945756660250931,1.0,0.005424333974906936
4300004,100,8,12.5,1.0,0.9903516144166115,-0.009648385583388541
4300005,100,8,12.5,0.9867346461883904,1.0,0.013265353811609648
4300006,100,8,12.5,0.9558860994224769,0.9829059839631646,0.02701988454068771
4300007,100,8,12.5,1.0,0.9976660121029145,-0.002333987897085499
4300008,100,8,12.5,0.9631564347640007,0.9967004627702786,0.03354402800627787
4300009,100,8,12.5,1.0,0.9545351450751441,-0.04546485492485586
4300010,100,8,12.5,1.0,1.0,0.0
4300011,100,8,12.5,0.9983308126485224,0.9960788443043639,-0.002251968344158528
4300012,100,8,12.5,0.9857014443322266,1.0,0.014298555667773383
4300013,100,8,12.5,0.969823625066314,0.9747545356056472,0.004930910539333144
4300014,100,8,12.5,0.9819217053684441,1.0,0.018078294631555858
4300015,100,8,12.5,0.9732835884311036,0.9842120887986383,0.010928500367534677
4300016,100,8,12.5,1.0,0.0,-1.0
4300017,100,8,12.5,1.0,1.0,0.0
4300018,100,8,12.5,1.0,1.0,0.0
4300019,100,8,12.5,0.18707851190424016,0.18822462798337974,0.0011461160791395864
