method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
aac_dvac_h_only,0,8.0,3.0,2.6666666666666665,0.7198972640262549,1,0.15064535251956376,8.0,3.0,2.6666666666666665,320,40,0.0063557932153344154,0.27763792449179625,0.040607203300794904,0.08654487624261836,0.3927689232763512,0.3873876198186095,0.7856836424922587
joint_scheduler,0,2.630434782608696,1.3043478260869565,2.0166666666666666,0.8955211225738994,1,0.0545721868867883,2.630434782608696,1.3043478260869565,2.0166666666666666,242,92,0.007300222292542458,0.5699444443850271,0.3249762325994309,0.9542542824360017,0.4357729439156615,0.5003494771743809,0.867413944433432
aac_dvac_h_only,1,8.0,4.0,2.0,0.6475415473013851,0,0.19213402790203138,8.0,4.0,2.0,240,30,0.006203813478350639,0.28450773951311453,0.035923640970677476,0.08048572965271232,0.36206047207263337,0.3680216582823401,nan
joint_scheduler,1,2.5,1.25,2.0,0.9487923531363242,1,0.026532370400089437,2.5,1.25,2.0,240,96,0.008071877993643284,0.554035028908661,0.311917843003834,0.9148408069284084,0.3759011880718212,0.46744422722472395,0.9635824408333875
aac_dvac_h_only,2,8.0,2.0,4.0,0.7883141938699165,1,0.11249995395778765,8.0,2.0,4.0,480,60,0.007722304202616215,0.37236126134030445,0.1118756924566475,0.31530915521421066,0.4718806935356539,0.5247483250623843,0.9291048042571719
joint_scheduler,2,2.376237623762376,1.188118811881188,2.0,0.9268978261855302,1,0.038000859086715466,2.376237623762376,1.188118811881188,2.0,240,101,0.00847891066223383,0.5583092650916435,0.3381623731837175,0.9902740928811089,0.4567453855097104,0.49633548988581805,0.956112976367074
aac_dvac_h_only,3,8.0,3.1578947368421053,2.533333333333333,0.9486811386960848,1,0.026590432860463482,8.0,3.1578947368421053,2.533333333333333,304,38,0.006650524213910103,0.27476712483312615,0.04685189866311363,0.10434173561444103,0.6074482314532115,0.38476867905822626,0.9390299539628709
joint_scheduler,3,2.5,1.25,2.0,0.9945224847393148,1,0.002819217354033668,2.5,1.25,2.0,240,96,0.00783354789018631,0.49882208238033643,0.2566934400698349,0.7339529674477434,0.47325971374845915,0.4613609416331311,0.9140580775404302
aac_dvac_h_only,4,8.0,4.0,2.0,0.641399324587032,0,0.19571535552919683,8.0,4.0,2.0,240,30,0.006239388138055801,0.24483977858651926,0.022524943118556042,0.04920901958972757,0.6097143195916612,0.4328747877454042,nan
joint_scheduler,4,2.823529411764706,1.411764705882353,2.0,0.9444625708091329,1,0.028794287245091327,2.823529411764706,1.411764705882353,2.0,240,85,0.00738148670643568,0.5130506088821775,0.24170100779437498,0.6636830327759555,0.5315310222656762,0.5505538853603464,0.8952199183412116
aac_dvac_h_only,5,8.0,4.0,2.0,0.572795165107264,0,0.23641270248474536,8.0,4.0,2.0,240,30,0.006230754777789116,0.2689788761881446,0.02734522082552746,0.06263804465206459,0.5426346226961474,0.37939901807410686,nan
joint_scheduler,5,3.1025641025641026,1.5384615384615385,2.0166666666666666,0.8456530291564984,1,0.08125585632253875,3.1025641025641026,1.5384615384615385,2.0166666666666666,242,78,0.007048783823847771,0.44751526374959677,0.1885962223710159,0.5098938058024414,0.4602474747745526,0.531710577960935,0.8655111189075179
aac_dvac_h_only,6,8.0,2.608695652173913,3.066666666666667,0.8521616053116486,1,0.07774820450291126,8.0,2.608695652173913,3.066666666666667,368,46,0.006677447818219662,0.316637435077267,0.05778915419861016,0.12874537080619558,0.4637614803693086,0.42629638842873546,0.8522025880943445
joint_scheduler,6,2.630434782608696,1.3043478260869565,2.0166666666666666,0.9515577933670774,1,0.025089223261073202,2.630434782608696,1.3043478260869565,2.0166666666666666,242,92,0.008099069818854332,0.5098227261273698,0.27559393951862765,0.7832470509011012,0.4614079475358222,0.5083340479578995,0.8507886363262188
aac_dvac_h_only,7,8.0,2.926829268292683,2.7333333333333334,0.6807696818248885,0,0.17292492396311002,8.0,2.926829268292683,2.7333333333333334,328,41,0.0063964249566197395,0.26246306334457226,0.03793089375531008,0.08309838267027574,0.4024051096694587,0.3427441260142076,0.7586307090673573
joint_scheduler,7,2.7906976744186047,1.3953488372093024,2.0,0.9917299491543572,1,0.0042582117468314236,2.7906976744186047,1.3953488372093024,2.0,240,86,0.007313979789614677,0.4868364913598853,0.23071059989567635,0.6388029397497752,0.5021414411436242,0.5294369386941604,0.9442411923113954
